"","x"
"1",3.6391166998018
"2",3.18593086907493
"3",3.64811695345837
"4",3.46689554943162
"5",3.72553039545286
"6",3.39140539679634
"7",4.54528584789913
"8",4.7460814903293
"9",5.27049529406925
"10",5.47167443087641
"11",6.55556356642921
"12",5.9181494846652
"13",6.07421836131558
"14",5.61808831268093
"15",6.42674167736288
"16",5.67896714769285
"17",5.65680222573328
"18",4.99149357816585
"19",5.50788604308806
"20",4.92499419815863
"21",4.8708801961963
"22",4.49924254057389
"23",5.64749740234098
"24",5.18144233311006
"25",5.64211191724259
"26",6.23718284532873
"27",9.2053186672771
"28",8.76118042502301
"29",8.42685297230121
"30",7.85250563029912
"31",8.59024023559288
"32",7.45262237422393
"33",7.68896164518185
"34",7.41442428746723
"35",8.29535036216118
"36",7.01223787939968
"37",6.8988899632739
"38",6.32354100352778
"39",6.93048218937782
"40",5.90173752311366
"41",6.05534023989397
"42",5.64923289807898
"43",6.38875900678563
"44",5.67521889669628
"45",5.89883778030494
"46",5.73249107327755
"47",6.86567307856811
"48",7.30237199614096
"49",7.65749090070132
"50",7.19733136724848
"51",8.09969055475206
"52",7.40015320122501
"53",7.40833343540092
"54",8.0569461302609
"55",9.66509722220728
"56",9.49395647681526
"57",9.85930366553104
"58",10.4250716178762
"59",11.3669160310361
"60",10.1741183275375
"61",9.25469244268433
"62",8.32616380714619
"63",8.57829867236943
"64",7.5143674195591
"65",7.39408119325686
"66",7.06290156284677
"67",7.91848208416281
"68",7.30973934631703
"69",7.15985793660051
"70",6.8283575386912
"71",7.63637904352546
"72",7.20634847685303
"73",6.93049498965868
"74",6.6142646686804
"75",7.24223193367278
"76",6.31493290351086
"77",5.97270842822262
"78",5.65888252252749
"79",6.25544353173279
"80",5.49758518062732
"81",5.45330610387242
"82",5.15030981126873
"83",5.69938517612482
"84",5.25686257480177
"85",5.24739494503564
"86",5.15858868878428
"87",5.83588595571024
"88",5.37479671785019
"89",5.62376225311264
"90",5.8560686824167
"91",7.27409151497558
"92",6.85962036607164
"93",6.76379360310823
"94",6.81198184911956
"95",8.15590447500742
"96",7.59232952357822
"97",7.56259324301599
"98",7.11892020265485
"99",7.8596624411866
"100",7.10572332232831
"101",6.78334480065896
"102",6.35333061915518
"103",7.19369870332084
"104",6.18427689152103
"105",5.9828759638508
"106",5.31437027950808
"107",5.97105000020159
"108",5.6729567405877
"109",5.6572555648417
"110",5.27427830355883
"111",6.08130674891048
"112",5.45559374541215
"113",5.2835153129386
"114",5.00932197831359
"115",5.74359561906643
"116",4.96280872525062
"117",4.87666546834654
"118",4.40203365180986
"119",5.11244055553862
"120",4.39590243596605
"121",4.54827912146681
"122",4.14381121609057
"123",4.69356464768445
"124",4.21303465663356
"125",4.26138423162624
"126",3.84416390939256
"127",4.41475983936916
"128",3.91498139267906
"129",4.04641796874953
"130",3.70778102423355
"131",4.63593964473031
"132",4.41378455132095
"133",4.82226486270371
"134",5.27476891288065
"135",6.25517459736237
"136",5.81840783661797
"137",5.72422283497367
"138",5.60905567662425
"139",6.39840145825264
"140",6.13735604900561
"141",6.0991297398006
"142",5.61147929387453
"143",6.174831411149
"144",5.565399006152
"145",5.45571512928797
"146",5.1958625293938
"147",5.70104145837273
"148",5.08959965624506
"149",5.01976024130433
"150",4.76546386773999
"151",5.09958799568854
"152",4.66357557067369
"153",4.70930546717057
"154",4.28327267655924
"155",4.87372401264297
"156",4.48258959833736
"157",4.72426613226591
"158",4.61974201643074
"159",5.32548956855184
"160",5.31950273949601
"161",6.09038051207916
"162",6.65472992929336
"163",8.92056830210899
"164",9.24132584026928
"165",9.70859195677635
"166",9.64113861578067
"167",10.5390498660535
"168",9.64636601640398
"169",9.60765419418895
"170",9.2790399581915
"171",9.64616731273198
"172",9.04016598448909
"173",9.16625604422209
"174",8.41281437270444
"175",8.76151487305984
"176",8.1084093088443
"177",8.18510378798169
"178",7.60736093761641
"179",8.18182367066966
"180",7.50937913517972
"181",7.4739375999274
"182",6.77575747554466
"183",7.08229161983248
"184",6.15104900314126
"185",6.2478465222293
"186",5.54023501487309
"187",5.91520982617072
"188",5.37715785115109
"189",5.27454501639985
"190",4.8985457561278
"191",5.27750476564959
"192",4.84859876272567
"193",5.0296166728706
"194",4.57818277959663
"195",4.92286898683553
"196",4.27858368006218
"197",4.46762673739261
"198",3.95007047969823
"199",4.39002998105565
"200",3.85637257559346
